start station id,name,latitude,longitude,edge,group,groupdes
404,9 Ave & W 14 St,40.7405826,-74.00550867,1,0,TriBeca - Greenwich Village
417,Barclay St & Church St,40.71291224,-74.01020234,9,0,TriBeca - Greenwich Village
127,Barrow St & Hudson St,40.73172428,-74.00674436,2,0,TriBeca - Greenwich Village
276,Duane St & Greenwich St,40.71748752,-74.0104554,3,0,TriBeca - Greenwich Village
249,Harrison St & Hudson St,40.71870987,-74.0090009,11,0,TriBeca - Greenwich Village
248,Laight St & Hudson St,40.72185379,-74.00771779,7,0,TriBeca - Greenwich Village
320,Leonard St & Church St,40.717571,-74.005549,4,0,TriBeca - Greenwich Village
309,Murray St & West St,40.7149787,-74.013012,1,0,TriBeca - Greenwich Village
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,560,0,TriBeca - Greenwich Village
335,Washington Pl & Broadway,40.72903917,-73.99404649,21,0,TriBeca - Greenwich Village
368,Carmine St & 6 Ave,40.73038599,-74.00214988,7,1,Greenwich Village - Chelsea
128,MacDougal St & Prince St,40.72710258,-74.00297088,242,1,Greenwich Village - Chelsea
435,W 21 St & 6 Ave,40.74173969,-73.99415556,23,1,Greenwich Village - Chelsea
504,1 Ave & E 15 St,40.73221853,-73.98165557,2,2,Union Square
483,E 12 St & 3 Ave,40.73223272,-73.98889957,2,2,Union Square
382,University Pl & E 14 St,40.73492695,-73.99200509,32,2,Union Square
250,Lafayette St & Jersey St,40.72456089,-73.99565293,1,3,Soho
348,W Broadway & Spring St,40.72490985,-74.00154702,28,3,Soho
306,Cliff St & Fulton St,40.70823502,-74.00530063,6,4,East Village - Financial District
439,E 4 St & 2 Ave,40.7262807,-73.98978041,51,4,East Village - Financial District
497,E 17 St & Broadway,40.73704984,-73.99009296,8,5,East Village - Flatiron District
301,E 2 St & Avenue B,40.72217444,-73.98368779,26,5,East Village - Flatiron District
403,E 2 St & 2 Ave,40.72502876,-73.99069656,29,6,East Village
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,28,6,East Village
444,Broadway & W 24 St,40.7423543,-73.98915076,31,7,Flatiron District - Financial District
195,Liberty St & Broadway,40.70905623,-74.01043382,23,7,Flatiron District - Financial District
257,Lispenard St & Broadway,40.71939226,-74.00247214,18,7,Flatiron District - Financial District
415,Pearl St & Hanover Square,40.7047177,-74.00926027,10,7,Flatiron District - Financial District
2003,1 Ave & E 18 St,40.73416059,-73.98024289,6,8,Midtown East - Midtown West
536,1 Ave & E 30 St,40.74144387,-73.97536082,3,8,Midtown East - Midtown West
455,1 Ave & E 44 St,40.75001986,-73.96905301,47,8,Midtown East - Midtown West
489,10 Ave & W 28 St,40.75066386,-74.00176802,7,8,Midtown East - Midtown West
458,11 Ave & W 27 St,40.751396,-74.005226,4,8,Midtown East - Midtown West
478,11 Ave & W 41 St,40.76030096,-73.99884222,44,8,Midtown East - Midtown West
530,11 Ave & W 59 St,40.771522,-73.990541,15,8,Midtown East - Midtown West
514,12 Ave & W 40 St,40.76087502,-74.00277668,99,8,Midtown East - Midtown West
290,2 Ave & E 58 St,40.76020258,-73.96478473,14,8,Midtown East - Midtown West
474,5 Ave & E 29 St,40.7451677,-73.98683077,35,8,Midtown East - Midtown West
505,6 Ave & W 33 St,40.74901271,-73.98848395,24,8,Midtown East - Midtown West
521,8 Ave & W 31 St,40.75044999,-73.99481051,5,8,Midtown East - Midtown West
490,8 Ave & W 33 St,40.751551,-73.993934,32,8,Midtown East - Midtown West
447,8 Ave & W 52 St,40.76370739,-73.9851615,1,8,Midtown East - Midtown West
463,9 Ave & W 16 St,40.74206539,-74.00443172,80,8,Midtown East - Midtown West
434,9 Ave & W 18 St,40.74317449,-74.00366443,9,8,Midtown East - Midtown West
509,9 Ave & W 22 St,40.7454973,-74.00197139,1,8,Midtown East - Midtown West
479,9 Ave & W 45 St,40.76019252,-73.9912551,2,8,Midtown East - Midtown West
346,Bank St & Hudson St,40.73652889,-74.00618026,10,8,Midtown East - Midtown West
238,Bank St & Washington St,40.7361967,-74.00859207,6,8,Midtown East - Midtown West
486,Broadway & W 29 St,40.7462009,-73.98855723,8,8,Midtown East - Midtown West
498,Broadway & W 32 St,40.74854862,-73.98808416,25,8,Midtown East - Midtown West
267,Broadway & W 36 St,40.75097711,-73.98765428,80,8,Midtown East - Midtown West
362,Broadway & W 37 St,40.75172632,-73.98753523,13,8,Midtown East - Midtown West
533,Broadway & W 39 St,40.75299641,-73.98721619,16,8,Midtown East - Midtown West
465,Broadway & W 41 St,40.75513557,-73.98658032,1,8,Midtown East - Midtown West
